"...And so, these ancient arrowheads are buried deep down in the earth's crust. We dig them up, polish them off, and find over twelve new arrowheads every month."
"Now, can anybody tell me, who left these arrowheads here?"
"Well... yes, but I want to see if you're learning anything."
"Okay, I tell you what. Why don't we all grab our little anthropology pickaxes - that were handed out and we wuh dig for our very own Indian arrowheads."
"How's it going, boys?"
"Hm, let me see that.  Why, this is Anasazi writing! My God, this must be thousands of years old!"
