"Oh that's funny, that's real funny. Big Harry and Mike in the Morning talkin' about the new hit movie , a great comedy, starring  and ."
Big Harry and Mike in the Morning. We'll talk more about it but let's get to some music. The new Tween Wave band  with their song
"Big Harry and Mike in the Morning and in case you didn't catch last night's episode of , we're breakin' it down."
"Nonono, no! How about when ."
I like that!
"Big Harry and Mike in the Morning, talkin' about Two and a Half Men. I think Ashton Kutcher makes it the show to be seen, Mike."
"Dolphin Tale, Big Harry and Mike in the Morning.  Let's hear one from the band Slamjammer and their song-"
